               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 118,            0.017972,           0.0061313,           0.0042894,             0.97966,             0.99969,             0.99426,             0.86283,             0.01076,           0.0030732,           0.0017402,           0.0042085,           0.0042085,           0.0042085
                 119,            0.018233,           0.0064018,           0.0036675,             0.97663,              0.9919,               0.995,             0.86985,             0.01009,           0.0030544,           0.0014789,            0.004159,            0.004159,            0.004159
                 120,            0.017234,            0.006016,           0.0045847,             0.98952,             0.99257,             0.99378,              0.8504,            0.010347,           0.0029682,           0.0013948,           0.0041095,           0.0041095,           0.0041095
                 121,            0.017457,           0.0061806,           0.0042629,             0.99336,                   1,               0.995,             0.86732,            0.010189,           0.0031259,            0.001131,             0.00406,             0.00406,             0.00406
                 122,             0.01737,           0.0060048,           0.0052113,             0.99186,             0.99698,               0.995,             0.87266,            0.010311,           0.0029303,            0.001054,           0.0040105,           0.0040105,           0.0040105
                 123,            0.017045,           0.0059523,           0.0037383,             0.98655,             0.99258,             0.99452,             0.86158,            0.010349,           0.0029203,           0.0013002,            0.003961,            0.003961,            0.003961
                 124,            0.016718,           0.0061299,           0.0038991,             0.98922,                   1,               0.995,             0.87573,           0.0094517,           0.0029057,           0.0010146,           0.0039115,           0.0039115,           0.0039115
                 125,            0.016775,           0.0058206,            0.003941,             0.98752,                   1,               0.995,             0.88556,           0.0097772,           0.0027388,           0.0010086,            0.003862,            0.003862,            0.003862
                 126,            0.017239,           0.0059531,           0.0043135,             0.98355,             0.98975,               0.995,             0.87398,           0.0095883,           0.0027142,            0.001468,           0.0038125,           0.0038125,           0.0038125
                 127,            0.016784,           0.0059305,           0.0057413,             0.98177,             0.98348,             0.99452,              0.8826,           0.0097606,            0.002758,           0.0017307,            0.003763,            0.003763,            0.003763
                 128,            0.016735,           0.0060575,           0.0043576,             0.98782,             0.98931,             0.99404,             0.89024,           0.0097344,           0.0027203,           0.0015879,           0.0037135,           0.0037135,           0.0037135
                 129,            0.016149,           0.0062361,           0.0043693,             0.98852,             0.99183,               0.995,             0.87622,           0.0095927,            0.002724,           0.0012015,            0.003664,            0.003664,            0.003664
                 130,            0.017015,           0.0057797,           0.0032107,             0.99092,             0.99364,               0.995,             0.87557,           0.0096652,           0.0026742,           0.0010126,           0.0036145,           0.0036145,           0.0036145
